val_loss,val_score,val_AUROC,epoch,step,train_loss,train_score,train_AUROC,lr-AdamW
0.10362939536571503,0.99851393699646,0.99851393699646,0,39,,,,
,,,0,39,0.3714347183704376,0.9472546577453613,0.9472546577453613,
,,,,49,,,,1.220245676671809e-06
0.021534746512770653,0.9997332692146301,0.9997332692146301,1,79,,,,
,,,1,79,0.05263406038284302,0.9997314214706421,0.9997314214706421,
,,,,99,,,,1.220245676671809e-06
0.018582025542855263,0.9996951222419739,0.9996951222419739,2,119,,,,
,,,2,119,0.01487580593675375,0.9999755620956421,0.9999755620956421,
,,,,149,,,,1.220245676671809e-06
0.01771826483309269,0.9998856782913208,0.9998856782913208,3,159,,,,
,,,3,159,0.005699416156858206,1.0,1.0,
,,,,199,,,,1.220245676671809e-06
0.018287375569343567,0.9998856782913208,0.9998856782913208,4,199,,,,
,,,4,199,0.004562983289361,1.0,1.0,
0.018907397985458374,0.9998856782913208,0.9998856782913208,5,239,,,,
,,,5,239,0.0020051770843565464,1.0,1.0,
,,,,249,,,,1.220245676671809e-06
0.01991237699985504,0.9998475313186646,0.9998475313186646,6,279,,,,
,,,6,279,0.001166952890343964,1.0,1.0,
,,,,299,,,,1.220245676671809e-06
0.02282962016761303,0.9997713565826416,0.9997713565826416,7,319,,,,
,,,7,319,0.0017090699402615428,1.0,1.0,
,,,,349,,,,1.220245676671809e-06
0.024052217602729797,0.9997332096099854,0.9997332096099854,8,359,,,,
,,,8,359,0.0007794473203830421,1.0,1.0,
,,,,399,,,,1.220245676671809e-06
0.02466675080358982,0.9998095035552979,0.9998095035552979,9,399,,,,
,,,9,399,0.0007579498924314976,1.0,1.0,
