Image_id,Label,image_path,fold,oof_0,oof_1
id_02amazy34fgh2.jpg,1,../../data/image/id_02amazy34fgh2.jpg,4,3.9180686144391075e-05,0.9999607801437378
id_02mh3w48pmyc9.jpg,0,../../data/image/id_02mh3w48pmyc9.jpg,0,0.9911524653434753,0.008847527205944061
id_02rpb463h9d3w.jpg,0,../../data/image/id_02rpb463h9d3w.jpg,2,0.999749481678009,0.00025045787333510816
id_02wc3jeeao8ol.jpg,1,../../data/image/id_02wc3jeeao8ol.jpg,1,0.00048689942923374474,0.9995131492614746
id_03t2hapb8wz8p.jpg,1,../../data/image/id_03t2hapb8wz8p.jpg,1,0.0057750726118683815,0.9942249655723572
id_04xrxyd43rlgz.jpg,0,../../data/image/id_04xrxyd43rlgz.jpg,1,0.9923720359802246,0.007627938874065876
id_05gqx7h8y6iye.jpg,1,../../data/image/id_05gqx7h8y6iye.jpg,2,0.00015032726514618844,0.9998496770858765
id_06le9g89kqth5.jpg,1,../../data/image/id_06le9g89kqth5.jpg,3,8.810775398160331e-06,0.9999911785125732
id_082w0qygo3eth.jpg,0,../../data/image/id_082w0qygo3eth.jpg,2,0.9983910322189331,0.0016089780256152153
id_086yvmu3nnvbe.jpg,1,../../data/image/id_086yvmu3nnvbe.jpg,4,6.810104241594672e-05,0.9999319314956665
id_09v3am3ppzesz.jpg,0,../../data/image/id_09v3am3ppzesz.jpg,4,0.999136745929718,0.0008632668177597225
id_0bbnpqpkpbod3.jpg,1,../../data/image/id_0bbnpqpkpbod3.jpg,1,0.03429551050066948,0.9657045602798462
id_0bd0chrhwa88r.jpg,1,../../data/image/id_0bd0chrhwa88r.jpg,1,0.0007733805105090141,0.9992265701293945
id_0d6mm3xcpbqkw.jpg,1,../../data/image/id_0d6mm3xcpbqkw.jpg,2,0.0005847011925652623,0.9994152784347534
id_0ff2fm63gzxvs.jpg,0,../../data/image/id_0ff2fm63gzxvs.jpg,0,0.9966323971748352,0.003367654513567686
id_0g00jpbynmgfr.jpg,0,../../data/image/id_0g00jpbynmgfr.jpg,0,0.9768253564834595,0.023174578323960304
id_0gur3rc3nuft9.jpg,0,../../data/image/id_0gur3rc3nuft9.jpg,1,0.9970732927322388,0.0029266721103340387
id_0k7gdyyx5zunr.jpg,1,../../data/image/id_0k7gdyyx5zunr.jpg,3,1.2804766811314039e-05,0.9999872446060181
